p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	aln	tcas	D.Symbol	D.Name	tcas_name	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC010260	0	1.29065119132827	0.993	0.467	0	0	TcasGA2-TC010260	TcasGA2_TC010260	gnl|WGS:AAJJ|TC010260-PA	CG43078	uncharacterized protein Dmel_CG43078, isoform G	TcasGA2-TC010260	CM000278.3	28499637	28503381	3745	-	hypothetical protein	3
TcasGA2-TC007207	0	1.26068381011447	0.999	0.681	0	0	TcasGA2-TC007207	TcasGA2_TC007207	gnl|WGS:AAJJ|TC007207-PA	tn	thin, isoform C	TcasGA2-TC007207	CM000279.2	7537630	7538733	1104	-	hypothetical protein	4
TcasGA2-TC001175	0	1.20815455519535	0.999	0.733	0	0	TcasGA2-TC001175	TcasGA2_TC001175	gnl|WGS:AAJJ|TC001175-PA	S-Lap7	Sperm-Leucylaminopeptidase 7, isoform B	TcasGA2-TC001175	CM000277.3	12259459	12261648	2190	+	Cytosol aminopeptidase-like Protein	2
TcasGA2-TC004000	0	1.20707539978342	0.998	0.553	0	0	TcasGA2-TC004000	TcasGA2_TC004000	gnl|WGS:AAJJ|TC004000-PA	S-Lap1	Sperm-Leucylaminopeptidase 1	TcasGA2-TC004000	CM000278.3	28793275	28798026	4752	-	Cytosol aminopeptidase-like Protein	3
TcasGA2-TC033671	0	1.19939466020514	1	0.615	0	0	TcasGA2-TC033671	TcasGA2_TC033671	gnl|WGS:AAJJ|TC033671-PA	Jupiter	jupiter, isoform I	TcasGA2-TC033671	CM000282.3	6947737	6992885	45149	-	hypothetical protein	7
TcasGA2-TC003514	0	1.17414167566224	0.992	0.415	0	0	TcasGA2-TC003514	TcasGA2_TC003514	gnl|WGS:AAJJ|TC003514-PA	brp	bruchpilot, isoform J	TcasGA2-TC003514	CM000278.3	6157870	6159805	1936	+	hypothetical protein	3
TcasGA2-TC033128	0	1.15473510541082	0.996	0.534	0	0	TcasGA2-TC033128	TcasGA2_TC033128	gnl|WGS:AAJJ|TC033128-PA	Ttc19	tetratricopeptide repeat domain 19	TcasGA2-TC033128	CM000280.3	9029821	9031785	1965	+	Tetratricopeptide repeat protein 19 homolog, mitochondrial-like Protein	5
TcasGA2-TC006703	0	1.13633571254574	0.992	0.421	0	0	TcasGA2-TC006703	TcasGA2_TC006703	gnl|WGS:AAJJ|TC006703-PA	Bsg25D	Blastoderm-specific gene 25D, isoform C	TcasGA2-TC006703	CM000283.3	13080287	13082097	1811	+	hypothetical protein	8
TcasGA2-TC031837	0	1.1282545310107	0.994	0.46	0	0	TcasGA2-TC031837	TcasGA2_TC031837	gnl|WGS:AAJJ|TC031837-PA	ana3	anastral spindle 3	TcasGA2-TC031837	CM000280.3	7140590	7141020	431	+	hypothetical protein	5
TcasGA2-TC009907	0	1.12636014165258	0.979	0.404	0	0	TcasGA2-TC009907	TcasGA2_TC009907	gnl|WGS:AAJJ|TC009907-PA	CG13442	uncharacterized protein Dmel_CG13442	TcasGA2-TC009907	CM000282.3	12194298	12195034	737	-	hypothetical protein	7
TcasGA2-TC011913	0	1.1174966758707	0.996	0.469	0	0	TcasGA2-TC011913	TcasGA2_TC011913	gnl|WGS:AAJJ|TC011913-PA	Sfxn1-3	sideroflexin 1/3, isoform A	TcasGA2-TC011913	CM000284.3	11732035	11733732	1698	-	Sideroflexin-3-like Protein	9
TcasGA2-TC008915	0	1.11409219222815	0.897	0.303	0	0	TcasGA2-TC008915	TcasGA2_TC008915	gnl|WGS:AAJJ|TC008915-PA	CG16789	uncharacterized protein Dmel_CG16789, isoform A	TcasGA2-TC008915	CM000282.3	11820753	11825836	5084	+	hypothetical protein	7
TcasGA2-TC002844	0	1.09998485088396	0.997	0.548	0	0	TcasGA2-TC002844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TcasGA2-TC001312	0	1.09149429461887	0.858	0.278	0	0	TcasGA2-TC001312	TcasGA2_TC001312	gnl|WGS:AAJJ|TC001312-PA	SA	stromalin	TcasGA2-TC001312	CM000277.3	14412243	14415239	2997	+	hypothetical protein	2
TcasGA2-TC007865	0	1.08792064109742	0.843	0.277	0	0	TcasGA2-TC007865	TcasGA2_TC007865	gnl|WGS:AAJJ|TC007865-PA	Trxr-2	thioredoxin reductase 2	TcasGA2-TC007865	CM000279.2	1847147	1848851	1705	+	Thioredoxin reductase 1, mitochondrial-like Protein	4
TcasGA2-TC011384	0	1.07343685217616	0.98	0.415	0	0	TcasGA2-TC011384	TcasGA2_TC011384	gnl|WGS:AAJJ|TC011384-PA	wda	will decrease acetylation	TcasGA2-TC011384	KQ971410.1	540343	541663	1321	+	hypothetical protein	NA
TcasGA2-TC000256	0	1.06947607047726	0.992	0.515	0	0	TcasGA2-TC000256	TcasGA2_TC000256	gnl|WGS:AAJJ|TC000256-PA	ACXE	adenylyl cyclase X E	TcasGA2-TC000256	CM000277.3	13994799	13995468	670	-	hypothetical protein	2
TcasGA2-TC034710	0	1.04795770821403	0.754	0.227	0	0	TcasGA2-TC034710	TcasGA2_TC034710	gnl|WGS:AAJJ|TC034710-PA	Chchd3	Coiled-coil-helix-coiled-coil-helix domain containing 3	TcasGA2-TC034710	CM000280.3	15257320	15259376	2057	-	hypothetical protein	5
TcasGA2-TC012174	0	1.0430865825468	0.995	0.482	0	0	TcasGA2-TC012174	TcasGA2_TC012174	gnl|WGS:AAJJ|TC012174-PA	CG17377	uncharacterized protein Dmel_CG17377, isoform E	TcasGA2-TC012174	CM000284.3	3914583	3915350	768	-	hypothetical protein	9
TcasGA2-TC001933	0	1.04016147428369	0.69	0.201	0	0	TcasGA2-TC001933	TcasGA2_TC001933	gnl|WGS:AAJJ|TC001933-PA	CG9861	uncharacterized protein Dmel_CG9861	TcasGA2-TC001933	CM000284.3	1203284	1210584	7301	-	hypothetical protein	9
TcasGA2-TC034632	0	1.03700309906851	0.96	0.389	0	0	TcasGA2-TC034632	TcasGA2_TC034632	gnl|WGS:AAJJ|TC034632-PA	insc	inscuteable	TcasGA2-TC034632	CM000278.3	26281379	26285476	4098	-	hypothetical protein	3
TcasGA2-TC032613	0	1.02488902280372	0.945	0.35	0	0	TcasGA2-TC032613	TcasGA2_TC032613	gnl|WGS:AAJJ|TC032613-PA	Muc11A	mucin 11A	TcasGA2-TC032613	CM000278.3	20339801	20341877	2077	-	hypothetical protein	3
TcasGA2-TC002472	0	1.01801483102082	0.951	0.37	0	0	TcasGA2-TC002472	TcasGA2_TC002472	gnl|WGS:AAJJ|TC002472-PA	Unr	upstream of N-ras, isoform C	TcasGA2-TC002472	CM000278.3	27786741	27818315	31575	-	Cold shock domain-containing protein E1-like Protein	3
TcasGA2-TC006976	0	1.0108248297719	0.975	0.41	0	0	TcasGA2-TC006976	TcasGA2_TC006976	gnl|WGS:AAJJ|TC006976-PA	CG9130	uncharacterized protein Dmel_CG9133, isoform D	TcasGA2-TC006976	KQ972213.1	244430	248077	3648	-	hypothetical protein	NA
TcasGA2-TC002982	0	1.00662775284541	0.992	0.467	0	0	TcasGA2-TC002982	TcasGA2_TC002982	gnl|WGS:AAJJ|TC002982-PA	Muc14A	mucin 14A	TcasGA2-TC002982	CM000278.3	5351277	5351489	213	-	hypothetical protein	3
TcasGA2-TC033685	0	0.996840784272345	0.846	0.288	0	0	TcasGA2-TC033685	TcasGA2_TC033685	gnl|WGS:AAJJ|TC033685-PA	Ca-alpha1D	C	TcasGA2-TC033685	CM000282.3	7398542	7414125	15584	-	hypothetical protein	7
TcasGA2-TC012387	0	0.992406903821951	0.988	0.456	0	0	TcasGA2-TC012387	TcasGA2_TC012387	gnl|WGS:AAJJ|TC012387-PA	CG30357	uncharacterized protein Dmel_CG30357	TcasGA2-TC012387	CM000284.3	6022515	6034171	11657	+	hypothetical protein	9
