aln	tcas	D.Symbol	D.Name	tcas_name	D.Chrom	seqnames	start	end	width	strand	product	Chrom
TcasGA2-TC000001	TcasGA2_TC000001	gnl|WGS:AAJJ|TC000001-PA	mRpS31	mitochondrial ribosomal protein S31	TcasGA2-TC000001	chromosome 3L	KQ972447.1	8	510	503	+	mitochondrial ribosomal protein S31	NA
TcasGA2-TC000005	TcasGA2_TC000005	gnl|WGS:AAJJ|TC000005-PA	CG13484	uncharacterized protein Dmel_CG13484	TcasGA2-TC000005	chromosome 3L	KQ973319.1	60769	61790	1022	-	hypothetical protein	NA
TcasGA2-TC000006	TcasGA2_TC000006	gnl|WGS:AAJJ|TC000006-PA	side-III	sidestep III, isoform O	TcasGA2-TC000006	chromosome 3R	KQ973319.1	56009	56584	576	-	hypothetical protein	NA
TcasGA2-TC000007	TcasGA2_TC000007	gnl|WGS:AAJJ|TC000007-PA	Sec6	secretory 6	TcasGA2-TC000007	chromosome 2R	KQ973319.1	54258	54443	186	-	hypothetical protein	NA
TcasGA2-TC000008	TcasGA2_TC000008	gnl|WGS:AAJJ|TC000008-PA	stw	straw, isoform G	TcasGA2-TC000008	chromosome 2R	KQ973319.1	43966	50163	6198	-	hypothetical protein	NA
TcasGA2-TC000009	TcasGA2_TC000009	gnl|WGS:AAJJ|TC000009-PA	CG5062	uncharacterized protein Dmel_CG5062	TcasGA2-TC000009	chromosome X	KQ973319.1	38947	39447	501	-	hypothetical protein	NA
TcasGA2-TC000011	TcasGA2_TC000011	gnl|WGS:AAJJ|TC000011-PA	CG43088	uncharacterized protein Dmel_CG43088	TcasGA2-TC000011	chromosome X	KQ973319.1	23440	27167	3728	-	hypothetical protein	NA
TcasGA2-TC000012	TcasGA2_TC000012	gnl|WGS:AAJJ|TC000012-PA	cbc	crowded by cid	TcasGA2-TC000012	chromosome 2R	KQ973319.1	18157	18564	408	-	DNA transposase THAP9-like Protein	NA
TcasGA2-TC000013	TcasGA2_TC000013	gnl|WGS:AAJJ|TC000013-PA	NA	NA	TcasGA2-TC000013	NA	KQ971776.1	38746	44153	5408	+	hypothetical protein	NA
TcasGA2-TC000017	TcasGA2_TC000017	gnl|WGS:AAJJ|TC000017-PA	CG42232	uncharacterized protein Dmel_CG42232	TcasGA2-TC000017	chromosome 3R	KQ971423.1	7362	12292	4931	-	hypothetical protein	NA
TcasGA2-TC000018	TcasGA2_TC000018	gnl|WGS:AAJJ|TC000018-PA	CG33325	uncharacterized protein Dmel_CG33325	TcasGA2-TC000018	chromosome 3R	KQ971562.1	438	737	300	+	hypothetical protein	NA
TcasGA2-TC000019	TcasGA2_TC000019	gnl|WGS:AAJJ|TC000019-PA	CG18538	uncharacterized protein Dmel_CG18538	TcasGA2-TC000019	chromosome 2R	KQ971457.1	101	412	312	-	hypothetical protein	NA
TcasGA2-TC000020	TcasGA2_TC000020	gnl|WGS:AAJJ|TC000020-PA	RpI135	RNA polymerase I 135kD subunit	TcasGA2-TC000020	chromosome 2L	KQ972167.1	3957	5074	1118	-	DNA-directed RNA polymerase I subunit RPA2-like Protein	NA
TcasGA2-TC000021	TcasGA2_TC000021	gnl|WGS:AAJJ|TC000021-PA	JIL-1	JIL-1 kinase, isoform C	TcasGA2-TC000021	chromosome 3L	CM000278.3	16166029	16221003	54975	-	Chromosomal serine/threonine-protein kinase JIL-1-like Protein	3
TcasGA2-TC000022	TcasGA2_TC000022	gnl|WGS:AAJJ|TC000022-PA	Cep97	centrosomal protein 97kDa, isoform D	TcasGA2-TC000022	chromosome 2L	CM000278.3	16147752	16148090	339	-	hypothetical protein	3
TcasGA2-TC000024	TcasGA2_TC000024	gnl|WGS:AAJJ|TC000024-PA	emc	extra macrochaetae	TcasGA2-TC000024	chromosome 3L	CM000278.3	16014175	16018397	4223	-	Protein extra-macrochaetae-like Protein	3
TcasGA2-TC000025	TcasGA2_TC000025	gnl|WGS:AAJJ|TC000025-PA	CG32452	uncharacterized protein Dmel_CG32452, isoform C	TcasGA2-TC000025	chromosome 3L	CM000278.3	15985651	15985926	276	-	hypothetical protein	3
